,GroupNumber,SubjectID_left,SubjectID_right,Computer,Gender_left,Gender_right,Age_left,Age_right,Familiarity,Block,Image_1,Image_2,Prop_red_image_1,Prop_red_image_2,Prop_yellow_image_1,Prop_yellow_image_2,Prop_green_image_1,Prop_green_image_2,Prop_blue_image_1,Prop_blue_image_2,Response_left,Response_right,Joint_left,Joint_right,Correct_left,Correct_right,Correct_joint,RT_left,RT_right,RT_joint_left,RT_joint_right,Participation_left,Participation_right
57,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r08y09g09b11.jpeg,Red\r04y39g24b15.jpeg,08,04,09,39,09,24,11,15,1,1,0,0,1,1,0,1.99,1.603,0,0,2nd time,2nd time
58,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r21y01g04b27.jpeg,Red\r30y03g14b24.jpeg,21,30,01,03,04,14,27,24,-1,1,0,-1,1,0,1,2.323,1.886,0,3.029,2nd time,2nd time
59,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r07y14g27b22.jpeg,Red\r30y03g14b24.jpeg,07,30,14,03,27,14,22,24,1,-1,1,0,1,0,1,1.354,1.463,2.124,0,2nd time,2nd time
60,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r29y25g18b18.jpeg,Red\r25y30g09b15.jpeg,29,25,25,30,18,09,18,15,1,1,0,0,0,0,0,2.472,2.1,0,0,2nd time,2nd time
61,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r17y12g19b18.jpeg,Red\r25y30g09b15.jpeg,17,25,12,30,19,09,18,15,-1,-1,0,0,1,1,0,1.684,1.442,0,0,2nd time,2nd time
62,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r14y12g04b29.jpeg,Red\r12y12g14b26.jpeg,14,12,12,12,04,14,29,26,-1,-1,0,0,1,1,0,2.397,1.843,0,0,2nd time,2nd time
63,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r14y20g16b10.jpeg,Red\r17y11g38b07.jpeg,14,17,20,11,16,38,10,07,-1,-1,0,0,1,1,0,2.334,1.611,0,0,2nd time,2nd time
64,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r24y16g07b40.jpeg,Red\r11y26g25b38.jpeg,24,11,16,26,07,25,40,38,-1,1,0,-1,1,0,1,2.452,0.989,0,1.837,2nd time,2nd time
65,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r33y06g37b06.jpeg,Red\r28y29g17b05.jpeg,33,28,06,29,37,17,06,05,1,1,0,0,0,0,0,1.312,3.408,0,0,2nd time,2nd time
66,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Red\r26y04g10b20.jpeg,Red\r30y03g14b24.jpeg,26,30,04,03,10,14,20,24,1,-1,0,1,1,0,1,1.775,1.505,0,1.401,2nd time,2nd time
67,32_16_20,Theasmom,John,Two screens,Female,Male,54,60,Not familiar with partner,1,Rep\r22y38g15b22.jpeg,Red\r13y33g08b23.jpeg,22,13,38,33,15,08,22,23,1,1,0,0,1,1,0,1.335,1.814,0,0,2nd time,2nd time
